Name,X,Y,zone,initialK
kpkpx_ww59,1823516.722,1068426.934,18,6.526854
kpkpx_ww60,1850516.722,1068426.934,18,9.540642
kpkpx_ww61,1877516.722,1068426.934,18,0.9657997
kpkpx_ww62,1904516.722,1068426.934,18,1.268157
kpkpx_ww63,1931516.722,1068426.934,18,12.76095
kpkpx_ww64,1958516.722,1068426.934,18,4.892086
kpkpx_ww65,1985516.722,1068426.934,18,8.669242
kpkpx_ww66,2012516.722,1068426.934,18,6.132958
kpkpx_ww67,1742516.722,1041426.934,18,4.857874
kpkpx_ww68,1769516.722,1041426.934,18,8.780771
kpkpx_ww69,1796516.722,1041426.934,18,8.077599
kpkpx_ww70,1823516.722,1041426.934,18,4.868733
kpkpx_ww71,1850516.722,1041426.934,18,6.109482
kpkpx_ww72,1877516.722,1041426.934,18,5.783165
kpkpx_ww73,1904516.722,1041426.934,18,6.970482
kpkpx_ww74,1931516.722,1041426.934,18,8.96832
kpkpx_ww75,1958516.722,1041426.934,18,8.511408
kpkpx_ww76,1985516.722,1041426.934,18,6.074728
kpkpx_ww77,2012516.722,1041426.934,18,5.00815
kpkpx_ww78,1742516.722,1014426.934,18,4.973846
kpkpx_ww79,1769516.722,1014426.934,18,5.228193
kpkpx_ww80,1796516.722,1014426.934,18,4.936815
kpkpx_ww81,1823516.722,1014426.934,18,4.845709
kpkpx_ww82,1850516.722,1014426.934,18,4.610484
kpkpx_ww83,1877516.722,1014426.934,18,6.937331
kpkpx_ww84,1904516.722,1014426.934,18,6.75762
kpkpx_ww85,1931516.722,1014426.934,18,5.972127
kpkpx_ww86,1958516.722,1014426.934,18,4.736763
kpkpx_ww87,1985516.722,1014426.934,18,4.891044
kpkpx_ww88,2012516.722,1014426.934,18,5.751304
kpkpx_ww89,1742516.722,987426.934,18,4.863335
kpkpx_ww90,1769516.722,987426.934,18,5.071341
kpkpx_ww91,1796516.722,987426.934,18,4.892972
kpkpx_ww92,1823516.722,987426.934,18,4.260105
kpkpx_ww93,1850516.722,987426.934,18,5.172857
kpkpx_ww94,1877516.722,987426.934,18,3.962527
kpkpx_ww95,1904516.722,987426.934,18,5.021005
kpkpx_ww96,1931516.722,987426.934,18,4.477525
