Name,X,Y,Type,Error
9089424401_f,543334.6819,313520.358,head,25.0
2089122401_f,584344.5086,313878.3588,head,25.0
6089192301_f,574902.0939,313918.6461,head,25.0
7089434801_f,541891.7602,313762.3153,head,25.0
9089064401_f,592003.5198,314171.4588,head,25.0
2089433701_f,542139.1049,313917.3569,head,25.0
7550892257_f,570350.2578,313914.1519,head,25.0
6089163801_f,578617.3309,314258.2545,head,25.0
6089472301_f,537006.8465,302920.8585,head,25.0
7089045101_f,594546.9831,314445.81,head,25.0
9089312101_f,558721.3335,314207.902,head,25.0
0088484701_f,616266.3111,314812.5492,head,25.0
0089171301_f,577827.6692,314374.8714,head,25.0
2089275001_f,563474.8394,314329.293,head,25.0
4088591401_f,602115.7959,314687.6759,head,25.0
4089193201_f,574695.0705,314441.4149,head,25.0
2088590801_f,602269.7617,314998.0672,head,25.0
4089072801_f,591004.0058,314932.1813,head,25.0
6089204901_f,572957.0438,314828.6522,head,25.0
0089261901_f,565521.436,314898.0106,head,25.0
5089151201_f,580547.0585,315169.8786,head,25.0
6089384601_f,547362.3909,314954.4625,head,25.0
7089402101_f,546551.1176,315012.9261,head,25.0
8089292001_f,561442.139,315118.6172,head,25.0
9088564601_f,605462.4367,315562.1632,head,25.0
9089320201_f,557792.3867,315128.1006,head,25.0
9089380401_f,549637.2198,315087.4461,head,25.0
2089292701_f,561283.6878,315241.0448,head,25.0
2089391701_f,547992.2902,315172.9793,head,25.0
3089241301_f,568357.2545,315318.6906,head,25.0
8330892952_f,560720.301,315268.4835,head,25.0
8089180201_f,576713.8122,315537.752,head,25.0
1089094801_f,587841.4576,315732.7073,head,25.0
7089310601_f,559050.7629999999,315690.5189,head,25.0
9089073901_f,590744.8929999999,316009.2581,head,25.0
9089311002_f,558960.3052,315751.692,head,25.0
0088473101_f,617956.3936,316379.547,head,25.0
1089082501_f,589708.0418,316060.1933,head,25.0
3088473301_f,617910.0002,316471.4394,head,25.0
3089415801_f,544362.9883,315806.727,head,25.0
4089030001_f,597028.0074,316232.1473,head,25.0
7089425501_f,543078.6107,315925.6117,head,25.0
6089120601_f,584725.3279,316473.4371,head,25.0
1088581401_f,603463.9522,316833.0124,head,25.0
7088473801_f,617786.6705,317210.1675,head,25.0
8088484501_f,616277.1584,317219.3553,head,25.0
9089121001_f,584631.3955,316873.5967,head,25.0
1088555501_f,606590.8619,317180.8791,head,25.0
1089305601_f,559269.9422,316740.6343,head,25.0
4089202501_f,573481.1806,316930.5363,head,25.0
5089002701_f,600463.1025,317228.5573,head,25.0
7088495501_f,614696.6183,317474.7156,head,25.0
7089193501_f,574606.5705,317032.0687,head,25.0
7089235101_f,568840.8503,316988.0136,head,25.0
9089101301_f,587263.5603,317207.7774,head,25.0
9089120101_f,584831.1546,317184.01399999997,head,25.0
1089194101_f,574622.863,317803.4426,head,25.0
2088495201_f,614762.0308,317629.9046,head,25.0
2088583801_f,602915.4303,317474.1667,head,25.0
2089193601_f,574582.8032,317186.1248,head,25.0
3088593201_f,601698.872,317490.2001,head,25.0
6089075001_f,590481.995,317456.5209,head,25.0
7088495001_f,614804.9174,317784.7777,head,25.0
8088570901_f,604917.5706,317684.1491,head,25.0
8089102401_f,587013.061,317482.9476,head,25.0
9089462201_f,538412.3738,317206.9089,head,25.0
1088572101_f,604646.1571,317773.3025,head,25.0
1089342401_f,554582.0486,317331.9984,head,25.0
2088521401_f,611559.7176,317894.3007,head,25.0
9440885032_f,613856.0114,317987.5131,head,25.0
4089382301_f,549199.2045,317399.1457,head,25.0
7088482101_f,616804.9196,318121.6772,head,25.0
7088494801_f,614845.6323,318093.8935,head,25.0
0089303701_f,559692.6259,317637.7091,head,25.0
2089304701_f,559467.0693,317698.0845,head,25.0
3088564501_f,605449.9045,318338.7744,head,25.0
3089182601_f,576153.9563,317846.8238,head,25.0
6089182901_f,576085.6263,317938.8059,head,25.0
0088563601_f,605652.1829,318372.1877,head,25.0
0000891613_f,579147.1916,318088.2718,head,25.0
0089272701_f,563969.4045,317972.6361,head,25.0
0089274301_f,563609.1041,317970.305,head,25.0
0089400001_f,547012.7562,317883.6212,head,25.0
0089450001_f,540257.1344,317859.9813,head,25.0
4089140301_f,582073.5269,318237.8942,head,25.0
5089222201_f,570836.5258,318174.9858,head,25.0
5089223301_f,570588.8242,318173.1298,head,25.0
6088533501_f,609725.6984,318610.1858,head,25.0
7089001501_f,600717.9219,318527.3952,head,25.0
9089330401_f,556379.0632,318205.1861,head,25.0
0088491001_f,615691.373,318815.4676,head,25.0
8089244601_f,567591.0501,318552.4193,head,25.0
0089004401_f,600060.1298,318920.6546,head,25.0
1089224701_f,570269.8967,318664.3422,head,25.0
1089224702_f,570269.8967,318664.3422,head,25.0
3088500601_f,614424.7585,319198.7547,head,25.0
6089363601_f,551602.8279,318705.581,head,25.0
7088572001_f,604650.9198,319192.5953,head,25.0
2088551501_f,607463.4664,319382.7047,head,25.0
5088542301_f,608633.0826,319490.5153,head,25.0
7088564801_f,605367.5444,319510.1498,head,25.0
0089285601_f,561957.5688,319193.8078,head,25.0
6088594401_f,601401.501,319738.8463,head,25.0
9089000201_f,600995.1344,319826.516,head,25.0
0088572501_f,604937.0419,319720.6928,head,25.0
1089155001_f,579651.248,319666.0595,head,25.0
2088500501_f,614434.7798,320093.6722,head,25.0
2088544001_f,608243.4709,320009.9221,head,25.0
2089285101_f,562067.8398,319564.682,head,25.0
3088561601_f,605765.7797,320070.5534,head,25.0
7089314901_f,558059.5708,319695.1657,head,25.0
8089381201_f,549436.9895,319682.9447,head,25.0
0088505101_f,613395.7313,320326.0568,head,25.0
1089362701_f,551800.3949,319786.1976,head,25.0
4088475301_f,617401.2733,320506.0666,head,25.0
4089264301_f,564947.1161,319953.3914,head,25.0
5089385101_f,548558.0847,319895.1057,head,25.0
8088594901_f,601280.7749,320416.1476,head,25.0
1089270801_f,564382.8884,320165.6089,head,25.0
2089340201_f,555062.9482,320141.6808,head,25.0
3088490801_f,615708.8964,320759.5582,head,25.0
4089095301_f,587681.5853,320451.304,head,25.0
4089095401_f,587659.0725,320451.0788,head,25.0
5088505001_f,613366.4029,320819.3175,head,25.0
9088562901_f,605778.904,320811.1977,head,25.0
9089373501_f,550267.0633,320334.4273,head,25.0
1089394601_f,547317.9249,320383.5512,head,25.0
7089402201_f,546506.8182,320565.4035,head,25.0
0088522201_f,611334.541,321223.48,head,25.0
0089344201_f,554159.6931,320692.3242,head,25.0
1320893440_f,554204.395,320754.2475,head,25.0
4089331701_f,556072.3431,320825.6589,head,25.0
7089351101_f,553505.8438,320904.989,head,25.0
4089155801_f,579502.3142,321238.1117,head,25.0
4089230601_f,569823.2053,321221.5341,head,25.0
5089342401_f,554562.4941,321157.1012,head,25.0
1490890035_f,600230.197,321668.5421,head,25.0
2089024501_f,597303.1008,321726.9536,head,25.0
4088530201_f,610424.2374,321951.7152,head,25.0
4088581401_f,603401.9111,321861.2599,head,25.0
4089085101_f,587646.7188,321685.0039,head,25.0
4089274901_f,563451.3878,321486.063,head,25.0
5089241001_f,568380.2498,321550.399,head,25.0
8088581401_f,603400.3888,321984.6492,head,25.0
8089275401_f,563338.062,321608.7313,head,25.0
0089250001_f,567253.8116,321696.67600000004,head,25.0
1089263301_f,565160.493,321713.212,head,25.0
4089342801_f,554469.4759,321742.7474,head,25.0
5089143801_f,581251.5426,321963.3042,head,25.0
7088474501_f,617553.3156,322452.1277,head,25.0
7089303501_f,559712.834,321864.0907,head,25.0
7089314501_f,558137.4324,321855.0105,head,25.0
8088500001_f,614514.5543,322439.7275,head,25.0
3089313701_f,558316.4331,322041.1163,head,25.0
5089055201_f,593086.4988,322389.5864,head,25.0
5089315201_f,557978.5033,322100.9037,head,25.0
7089002501_f,600444.9933,322534.9693,head,25.0
9089021001_f,598081.2428,322568.9189,head,25.0
9089322701_f,557190.1565,322219.907,head,25.0
9089322702_f,557190.1565,322219.907,head,25.0
1089084301_f,589236.2057,322534.0998,head,25.0
3089372601_f,550460.7525,322309.5931,head,25.0
6089100401_f,587411.7949,322669.8916,head,25.0
6089274201_f,563602.564,322474.2054,head,25.0
2089024001_f,597401.5059,322962.1723,head,25.0
5089083401_f,589434.3135,322968.059,head,25.0
3088544101_f,608176.2679999999,323433.7923,head,25.0
3089023701_f,597465.1223,323302.2735,head,25.0
5089242701_f,567986.6707,323090.0614,head,25.0
6089330402_f,556353.0107,323048.262,head,25.0
1089245201_f,567422.8274,323271.1759,head,25.0
2089252601_f,566657.5616,323296.6935,head,25.0
2089273701_f,563709.8946,323276.9715,head,25.0
5089032501_f,596380.8178,323660.1453,head,25.0
8088553201_f,607022.6829,323881.6097,head,25.0
8089173901_f,577164.0958,323562.5495,head,25.0
4089322601_f,557205.0112,323608.1846,head,25.0
6089024401_f,597299.4868,324009.9769,head,25.0
8089241701_f,568206.625,323801.1659,head,25.0
9088551201_f,607468.3013,324226.7667,head,25.0
9089261101_f,565641.4569,323814.1843,head,25.0
4089274701_f,563480.5167,323954.1721,head,25.0
5089052801_f,593606.4502,324246.349,head,25.0
5089294301_f,560870.4414,323968.7176,head,25.0
3150892947_f,560780.4484,323968.1737,head,25.0
